Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
1 hidden,2,"(1, 30, 3, 1, 1, 1)",77110,92.885,0.2497769031228859
1 hidden,3,"(1, 30, 3, 1, 1, 1)",77110,94.52,0.19446973350923707
1 hidden,4,"(1, 30, 3, 1, 1, 1)",77110,95.56333333333333,0.15992171843565983
1 hidden,5,"(1, 30, 3, 1, 1, 1)",77110,96.27166666666666,0.13682241713814836
2 hidden,1,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,25.9,2.1667787394543954
2 hidden,2,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,79.63666666666667,0.668920117321172
2 hidden,3,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,85.95,0.44775941952078074
2 hidden,4,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,87.40333333333334,0.40159211723979854
2 hidden,5,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,88.11666666666666,0.3790700190754206
2 hidden,1,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,65.13666666666667,1.0905447376689423
2 hidden,2,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,88.43833333333333,0.3871782620006533
2 hidden,3,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,89.87666666666667,0.3395616127801602
